addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,building
,3,28806,,Calle Isabel de Guzmán,
,2,28806,,Calle Carabaña,
,4,28806,,Calle Carabaña,
,25,28801,,Calle de la Era Honda,
,29,28801,,Calle de la Era Honda,
,27,28801,,Calle de la Era Honda,
,34,28803,,Calle Gardenia,
,30B,28803,,Calle Gardenia,
,1,28802,,Calle del Clavel,
,3,28803,,Calle Duquesa de Medinaceli,
,1,28803,,Calle Duquesa de Medinaceli,
,4,28803,,Calle Duquesa de Medinaceli,
,2,28803,,Calle Duquesa de Medinaceli,
,26A,28803,,Calle de Nuestra Señora del Pilar,
,,,,Calle Segovia,
,13,,,Avenida de Castilla,
,23,28804,,Avenida de Castilla,
,7,,,Avenida de Castilla,
,13,,,Avenida de Castilla,
,17,28804,,Avenida de Castilla,
,19,28804,,Avenida de Castilla,
,25,28804,,Avenida de Castilla,
,15,28804,,Avenida de Castilla,
,,,,Calle Salamanca,
,,,,Calle de Juan Ramón Jiménez,
,,28805,,Calle de Juan Ramón Jiménez,
,,,,Calle de Juan Ramón Jiménez,
,6,,,Plaza Reina María Cristina,
,7B,28805,,Calle de José Ortega y Gasset,
,7A,28805,,Calle de José Ortega y Gasset,
,3,28805,,Calle de José Ortega y Gasset,
,5,28805,,Calle de José Ortega y Gasset,
,4,28805,,Calle de José Ortega y Gasset,
,2,28805,,Calle de José Ortega y Gasset,
,6,28805,,Calle de José Ortega y Gasset,
,8,28805,,Calle de José Ortega y Gasset,
,3,28805,,Calle Brigadas Internacionales,
,1,28805,,Calle Brigadas Internacionales,
,2,28805,,Calle Brigadas Internacionales,
,4,28805,,Calle Brigadas Internacionales,
,5,28805,,Calle Brigadas Internacionales,
,7,28805,,Calle Brigadas Internacionales,
,6,28805,,Calle Brigadas Internacionales,
,9,28806,,Calle Ramón María del Valle Inclán,
,75,28801,,Calle Mayor,
,16B,28804,,Calle de Ávila,
,16,28804,,Calle de Ávila,
,14B,28804,,Calle de Ávila,
,14,28804,,Calle de Ávila,
,,28804,,Calle Cuenca,
,,28804,,Calle Cuenca,
,,28801,,Calle de la Era Honda,
,5,28801,,Calle de la Era Honda,
,,,,Calle de la Era Honda,
,2A,,,Calle de la Era Honda,
,2A,,,Calle de la Era Honda,
,,28801,,Calle del Clavel,
,,28801,,Calle de la Rosa,
,,28801,,Calle de la Rosa,
,,28801,,Paseo de los Curas,
,8,28801,,Calle del Clavel,
,3,28801,,Avenida de los Reyes Católicos,
,3,28802,,Avenida de los Reyes Católicos,
,3,28802,,Calle del Clavel,
,1,28801,,Calle Francisco Díaz,
,1,28801,,Calle de San Julián,
,2,28801,,Travesía de San Julián,
,1,28802,,Calle Gayo Annio y Magia Atta,
,,,,Calle del Clavel,
,,,,Calle del Clavel,
,10,28804,,Calle Toledo,
,8,28804,,Calle Toledo,
,1,28804,,Calle Toledo,
,1,28804,,Calle Toledo,
,18,28804,,Calle Zamora,
,16,28804,,Calle Zamora,
,15,28804,,Calle Zamora,
,17,28804,,Calle Zamora,
,11,28804,,Calle Zamora,
,13,28804,,Calle Zamora,
,12,28804,,Calle Zamora,
,14,28804,,Calle Zamora,
,8,28804,,Calle Zamora,
,10,28804,,Calle Zamora,
,6,28804,,Calle Zamora,
,4,28804,,Calle Zamora,
,3,28804,,Calle Zamora,
,5,28804,,Calle Zamora,
,7,28804,,Calle Zamora,
,9,28804,,Calle Zamora,
,10,28806,,Calle Octavio Paz,
,8B,28806,,Calle Octavio Paz,
,8A,28806,,Calle Octavio Paz,
,8,28806,,Calle Octavio Paz,
,52,28806,,Calle María Zambrano,
,50,28806,,Calle María Zambrano,
,48,28806,,Calle María Zambrano,
,46,28806,,Calle María Zambrano,
,44,28806,,Calle María Zambrano,
,42,28806,,Calle María Zambrano,
,40,28806,,Calle María Zambrano,
,38,28806,,Calle María Zambrano,
,36,28806,,Calle María Zambrano,
,34,28806,,Calle María Zambrano,
,32,28806,,Calle María Zambrano,
,30,28806,,Calle María Zambrano,
,28,28806,,Calle María Zambrano,
,26,28806,,Calle María Zambrano,
,1,28806,,Calle José García Nieto,
,3,28806,,Calle José García Nieto,
,51,28806,,Calle Ernesto Sábato,
,49,28806,,Calle Ernesto Sábato,
,47,28806,,Calle Ernesto Sábato,
,45,28806,,Calle Ernesto Sábato,
,43,28806,,Calle Ernesto Sábato,
,41,28806,,Calle Ernesto Sábato,
,39,28806,,Calle Ernesto Sábato,
,37,28806,,Calle Ernesto Sábato,
,35,28806,,Calle Ernesto Sábato,
,33,28806,,Calle Ernesto Sábato,
,31,28806,,Calle Ernesto Sábato,
,29,28806,,Calle Ernesto Sábato,
,27,28806,,Calle Ernesto Sábato,
,25,28806,,Calle Ernesto Sábato,
,12,28806,,Calle Octavio Paz,
,14A,28806,,Calle Octavio Paz,
,14B,28806,,Calle Octavio Paz,
,14C,28806,,Calle Octavio Paz,
,14D,28806,,Calle Octavio Paz,
,28,28806,,Calle Ernesto Sábato,
,26,28806,,Calle Ernesto Sábato,
,24,28806,,Calle Ernesto Sábato,
,22,28806,,Calle Ernesto Sábato,
,18,28806,,Calle Ernesto Sábato,
,28,28806,,Calle Ernesto Sábato,
,16,28806,,Calle Ernesto Sábato,
,14,28806,,Calle Ernesto Sábato,
,12,28806,,Calle Ernesto Sábato,
,10,28806,,Calle Ernesto Sábato,
,8,28806,,Calle Ernesto Sábato,
,6,28806,,Calle Ernesto Sábato,
,4,28806,,Calle Ernesto Sábato,
,5,28806,,Calle José García Nieto,
,7,28806,,Calle José García Nieto,
,9,28806,,Calle José García Nieto,
,11,28806,,Calle José García Nieto,
,,28804,,Avenida Don Juan de Austria,
Alcalá de Henares,14,28804,,Calle Zaragoza,
Alcalá de Henares,16,28804,,Calle Zaragoza,
Alcalá de Henares,18,28804,,Calle Zaragoza,
Alcalá de Henares,20,28804,,Calle Zaragoza,
,24,28806,,Calle Claudio Sánchez Albornoz,
,22,28806,,Calle Claudio Sánchez Albornoz,
,18,28806,,Calle Claudio Sánchez Albornoz,
,8,28806,,Calle Claudio Sánchez Albornoz,
,16,28806,,Calle Claudio Sánchez Albornoz,
,20,28806,,Calle Claudio Sánchez Albornoz,
,12,28806,,Calle Claudio Sánchez Albornoz,
,14,28806,,Calle Claudio Sánchez Albornoz,
,10,28806,,Calle Claudio Sánchez Albornoz,
,4,28806,,Calle Claudio Sánchez Albornoz,
,6,28806,,Calle Claudio Sánchez Albornoz,
,2,28806,,Calle Claudio Sánchez Albornoz,
,23,28806,,Calle Camilo José Cela,
,1,28806,,Calle Camilo José Cela,
,3,28806,,Calle Camilo José Cela,
,5,28806,,Calle Camilo José Cela,
,7,28806,,Calle Camilo José Cela,
,9,28806,,Calle Camilo José Cela,
,21,28806,,Calle Camilo José Cela,
,19,28806,,Calle Camilo José Cela,
,17,28806,,Calle Camilo José Cela,
,15,28806,,Calle Camilo José Cela,
,13,28806,,Calle Camilo José Cela,
,11,28806,,Calle Camilo José Cela,
,88,28806,,Calle Rafael Alberti,
,86,28806,,Calle Rafael Alberti,
,84,28806,,Calle Rafael Alberti,
,82,28806,,Calle Rafael Alberti,
,80,28806,,Calle Rafael Alberti,
,78,28806,,Calle Rafael Alberti,
,76,28806,,Calle Rafael Alberti,
,74,28806,,Calle Rafael Alberti,
,72,28806,,Calle Rafael Alberti,
,70,28806,,Calle Rafael Alberti,
,68,28806,,Calle Rafael Alberti,
,61,28806,,Avenida de los Jesuitas,
,59,28806,,Avenida de los Jesuitas,
,57,28806,,Avenida de los Jesuitas,
,55,28806,,Avenida de los Jesuitas,
,53,28806,,Avenida de los Jesuitas,
,51,28806,,Avenida de los Jesuitas,
,41,28806,,Avenida de los Jesuitas,
,39,28806,,Avenida de los Jesuitas,
,37,28806,,Avenida de los Jesuitas,
,43,28806,,Avenida de los Jesuitas,
,45,28806,,Avenida de los Jesuitas,
,47,28806,,Avenida de los Jesuitas,
,49,28806,,Avenida de los Jesuitas,
,27,28806,,Avenida Miguel de Unamuno,
,30,28806,,Avenida de los Jesuitas,
,28,28806,,Avenida de los Jesuitas,
,35,28806,,Avenida de los Jesuitas,
,64,28806,,Calle Rafael Alberti,
,17,28805,,Calle Barberán y Collar,
,15,28805,,Calle Barberán y Collar,
,13,28805,,Calle Barberán y Collar,
,11,28805,,Calle Barberán y Collar,
,9,28805,,Calle Barberán y Collar,
,7,28805,,Calle Barberán y Collar,
,11,28805,,Calle General Herrera,
,1,28805,,Calle General Herrera,
,61,28801,,Calle Mayor,
,58,28801,,Calle Mayor,
,91,28801,,Calle Mayor,
,90,28801,,Calle Mayor,
Alcalá de Henares,5,28804,,Camino de los Afligidos,
,16,,,Avenida de Juan Carlos I,
,4,,,Calle de Felipe II,
,2,,,Calle de Felipe II,
,60,28801,,Calle Mayor,
,23,28801,,Calle Mayor,
,36,28801,,Calle Mayor,
,3,28804,,Calle de León,
,5,28804,,Calle de León,
,7,28804,,Calle de León,
,9,28804,,Calle de León,
,1,28801,,Calle Francisco Díaz,
,5,28804,,Calle Cuenca,
,14,28804,,Avenida Lope de Figueroa,
,12,28801,,Calle Mayor,
,9,28801,,Calle Mayor,
,4,,,Calle Batanes,
,7,,,Calle de Luis Vives,
,5,,,Calle de Luis Vives,
,3,,,Calle de Luis Vives,
Alcalá de Henares,1,28801,,Calle de Luis Vives,
,9,,,Calle de Luis Vives,
Alcalá de Henares,3,,,Calle Batanes,
Alcalá de Henares,1,,,Calle El Toboso,
,2,,,Calle Batanes,
Alcalá de Henares,1,,,Calle de los Batanes,
Alcalá de Henares,3,,,Calle El Toboso,
,7,,,Calle de los Molinos,
,5,,,Calle de los Molinos,
,3,,,Calle de los Molinos,
,1,,,Calle de los Molinos,
,6,,,Calle de los Batanes,
,8,,,Calle de los Batanes,
,10,,,Calle de los Batanes,
,12,,,Calle de los Batanes,
,14,,,Calle de los Batanes,
,16,,,Calle de los Batanes,
,11,,,Calle de los Batanes,
,13,,,Calle de los Batanes,
,15,,,Calle de los Batanes,
,5,,,Calle de los Batanes,
,7,,,Calle de los Batanes,
,9,,,Calle de los Batanes,
,2,,,Calle de Luis Vives,
,8,,,Calle de Luis Vives,
,14,,,Calle de Beatriz Galindo,
,16,,,Calle de Beatriz Galindo,
,18,,,Calle de Beatriz Galindo,
,20,,,Calle de Beatriz Galindo,
,6,,,Calle de la Cruz de San Sebastián,
,4,,,Calle de la Cruz de San Sebastián,
,2,,,Calle de la Cruz de San Sebastián,
Alcalá de Henares,2,28803,,Calle de los Batanes,
,32,28802,,Avenida de los Reyes Católicos,
,30,28802,,Avenida de los Reyes Católicos,
,28,,,Avenida de los Reyes Católicos,
,,,,Plaza de Pedro Blas,
,17,28801,,Calle Mayor,
,50,28801,,Calle Mayor,
,1,28801,,Calle Imagen,
,62,28801,,Calle Mayor,
,64,28801,,Calle Mayor,
,94,28801,,Calle Mayor,
,107,28801,,Calle Mayor,
,97,28801,,Calle Mayor,
,95,28801,,Calle Mayor,
,84,28801,,Calle Mayor,
,82,28801,,Calle Mayor,
,54,28801,,Calle Mayor,
,63,28801,,Calle Mayor,
,61,28801,,Calle Mayor,
,6,28801,,Plaza de los Irlandeses,
,5,28801,,Plaza de los Irlandeses,
,4,28801,,Plaza de los Irlandeses,
,2,28801,,Plaza de los Irlandeses,
,6,28801,,Plaza de los Irlandeses,
,10,28801,,Plaza de los Irlandeses,
,9,28801,,Plaza de los Irlandeses,
,57,28801,,Calle Mayor,
,55,28801,,Calle Mayor,
,53,28801,,Calle Mayor,
,8,28801,,Plaza de los Irlandeses,
,7,28801,,Plaza de los Irlandeses,
,47,28801,,Calle Mayor,
,49,28801,,Calle Mayor,
,45,28801,,Calle Mayor,
,12,28801,,Plaza de los Irlandeses,
,13,28801,,Plaza de los Irlandeses,
,14,28801,,Plaza de los Irlandeses,
,11,28801,,Plaza de los Irlandeses,
,43,28801,,Calle Mayor,
,41,28801,,Calle Mayor,
,39,28801,,Calle Mayor,
,37,28801,,Calle Mayor,
,21,28801,,Calle Mayor,
,2,28801,,Calle de Carmen Calzado,
,6,28801,,Calle de Carmen Calzado,
,8,28801,,Calle de Carmen Calzado,
,10,28801,,Calle de Carmen Calzado,
,7,28801,,Calle Mayor,
,1,28801,,Calle de Ramón y Cajal,
,9,28801,,Calle Mayor,
,2,28801,,Calle de Ramón y Cajal,
,16,28801,,Calle Mayor,
,18,28801,,Calle Mayor,
,24,28801,,Calle Mayor,
,24A,28801,,Calle Mayor,
,3,28801,,Plaza del Padre Lecanda,
,32,28801,,Calle Mayor,
,40,28801,,Calle Mayor,
,38,28801,,Calle Mayor,
,26A,28801,,Calle Mayor,
,73,28801,,Calle Mayor,
Alcalá de Henares,1,28804,,Avenida Lope de Figueroa,
Alcalá de Henares,5,28805,,Calle del Teniente Ruiz,
,6,,,Paseo de la Estación,
,8,,,Paseo de la Estación,
,4,,,Paseo de la Estación,
,2,,,Paseo de la Estación,
,10,,,Paseo de la Estación,
,,,,Plaza Antonio Rodríguez de Hita,
,4,28805,,Calle Miguel de Moncada,
,16,28805,,Calle de Don Juan de Austria,
,1,,,Calle José María Pereda,
,2,,,Calle de Luis Vives,
,8,28804,,Avenida Lope de Figueroa,
Alcalá de Henares,13,28804,,Calle Segovia,
,7,,,Calle de Argentina,
,73,28801,,Calle Mayor,
,2B,,,Calle de Era Honda,
Alcalá de Henares,35,28803,,Paseo de Pastrana,
Alcalá de Henares,,28803,,Calle Hans Sevilla,
Alcalá de Henares,2,28803,,Calle El Toboso,
,4,,,Calle Juan Guerra,
,5,,,Calle Juan Guerra,
,3,,,Calle Juan Guerra,
,2,,,Calle Juan Guerra,
,1,,,Calle Juan Guerra,
Alcalá de Henares,13,28806,,Calle Jorge Guillén,
,5,28801,,Calle Mayor,
,40,28801,,Calle Mayor,
,26,28801,,Calle Mayor,
Alcalá de Henares,4,28806,,Avenida de Europa,
Madrid,5,28015,,Calle de Galileo Galilei,
Alcalá de Henares,31,28804,,Avenida Lope de Figueroa,
Alcalá de Henares,,28805,,Carretera A-2 Km. 35 Salida 32,
Alcalá de Henares,,28805,,Calle de Don Juan Tenorio,
,11,28806,,Calle Euclides,
,7,28801,,Calle de Libreros,
,26,28801,,Calle de Libreros,
,29,28801,,Plaza de Cervantes,
,24,28801,,Calle de Libreros,
,16,28801,,Calle de Libreros,
,42,28801,,Calle de Libreros,
,7,28801,,Calle de Libreros,
,1,28801,,Paseo de la Alameda,
,32,28801,,Calle de Libreros,
,44,28801,,Calle de Libreros,
,48,28801,,Calle de Libreros,
,28,28801,,Calle de Libreros,
,7,28801,,Calle Mayor,
,24,28801,,Calle de Libreros,
,37,28801,,Calle Mayor,
,58,28801,,Calle Mayor,
,62,28801,,Calle Mayor,
,31,28801,,Calle Mayor,
,64,28801,,Calle Mayor,
,66,28801,,Calle Mayor,
,79,28801,,Calle Mayor,
,92,28801,,Calle Mayor,
,27,,,Calle Mayor,
,30,28801,,Calle Mayor,
,19,28801,,Calle Mayor,
,32,28801,,Calle Mayor,
,7,,,Calle de Goya,
,14,,,Calle Salamanca,
,10,28804,,Avenida Lope de Figueroa,
,5,28801,,Calle Nebrija,
,2,28801,,Plaza de Atilano Casado,
,4,28801,,Plaza de Atilano Casado,
,10,28801,,Calle del Tinte,
,6,28801,,Calle del Tinte,
,8,28801,,Calle del Tinte,
,4,28801,,Calle del Tinte,
,48,28801,,Calle de Santiago,
,"40,42",28801,,Calle de Santiago,
,1,28801,,Calle Mayor,
,"4,6,8",28801,,Calle Mayor,
,"36,34",28801,,Calle de Santiago,
,3,28801,,Calle Imagen,
,12,28801,,Calle Nueva,
,9,28801,,Calle Nueva,
,1,28801,,Calle San Felipe Neri,
,2,28801,,Plaza del Padre Lecanda,
,5,28801,,Calle de San Juan,
,7,28801,,Calle San Felipe Neri,
,1,28801,,Calle Bedel,
,16,28801,,Calle de Libreros,
,22,28801,,Calle de Libreros,
,24,28801,,Calle de Libreros,
,7,28801,,Calle Beatas,
,26,28801,,Calle de Libreros,
,36,28801,,Calle de Libreros,
,3,28801,,Calle San Diego de Alcalá,
,15,28801,,Calle San Diego de Alcalá,
,50,28801,,Calle de Libreros,
,38,28801,,Calle de Libreros,
,48,28801,,Calle de Libreros,
,1,28801,,Calle Nebrija,
,19,28801,,Calle de Libreros,
,9,28801,,Calle Nebrija,
,11,28801,,Calle de Libreros,
,9,28801,,Calle de Libreros,
,9,28801,,Calle de Libreros,
,1,28801,,Calle del Tinte,
,7,28801,,Calle de Libreros,
,2,28801,,Calle del Tinte,
,2B,28801,,Calle del Tinte,
,2,28801,,Calle Divino Figueroa,
,4,28801,,Calle Divino Figueroa,
,49,28801,,Calle de Santiago,
,35,28801,,Calle de Santiago,
,2,28801,,Calle Diego de Torres,
,19,28801,,Calle de Santiago,
,19B,28801,,Calle de Santiago,
,13,28801,,Calle de los Escritorios,
,11,28801,,Calle de los Escritorios,
,66,28801,,Calle Mayor,
,61,28801,,Calle Mayor,
,4,28801,,Calle de los Escritorios,
,13,28801,,Calle de Carmen Calzado,
,8,28801,,Plaza de Cervantes,
,3,28801,,Plaza de Cervantes,
,10,28801,,Calle de Libreros,
,12,28801,,Calle de Libreros,
,14,28801,,Calle de Libreros,
,2,28801,,Calle Bedel,
,7,28801,,Calle Bedel,
,5,28801,,Plaza de San Diego,
,6,28801,,Calle Beatas,
,48,28801,,Calle de Libreros,
,2,28805,,Calle del Teniente Ruiz,
,4,28805,,Calle Encomienda,
,1,28801,,Paseo de la Alameda,
,7,28806,,Calle de Juan Huarte de San Juan,
,1,28804,,Calle de La Coruña,
,5,28804,,Plaza de Juan XXIII,
,4,28804,,Plaza de Juan XXIII,
,3,28804,,Plaza de Juan XXIII,
,2,28804,,Plazad e Juan XXIII,
,1,28804,,Plaza de Juan XXIII,
,8,28804,,Plaza de Juan XXIII,
,7,28804,,Plaza de Juan XXIII,
,6,28804,,Plaza de Juan XXIII,
,5,28804,,Calle Batalla de Lepanto,
,3,28804,,Calle Batalla de Lepanto,
,11,28805,,Calle Gil de Andrade,
,9,28804,,Calle Gil de Andrade,
,2,28801,,Plaza de la Victoria,
,3,28801,,Plaza de la Victoria,
,1,28801,,Plaza de la Victoria,
,17,28801,,Calle del Cardenal Cisneros,
,15,28801,,Calle del Cardenal Cisneros,
,7,28801,,Calle del Cardenal Cisneros,
,5,28801,,Calle del Cardenal Cisneros,
,2,28802,,Calle de Ponce de León,
,4,28802,,Calle de Ponce de León,
,6,28802,,Calle de Ponce de León,
,8,28802,,Calle de Ponce de León,
,10,28802,,Calle de Ponce de León,
,12,28802,,Calle de Ponce de León,
,15,28802,,Calle de Ponce de León,
,13,28802,,Calle de Ponce de León,
,7,28802,,Calle de Ponce de León,
,9,28802,,Calle de Ponce de León,
,11,28802,,Calle de Ponce de León,
,1,28802,,Calle de Ponce de León,
,3,28802,,Calle de Ponce de León,
,5,28802,,Calle de Ponce de León,
,2,28803,,Calle Gardenia,
,2,28803,,Calle Santa Fé,
,8,28803,,Calle Santa Fé,
,6,28803,,Calle Santa Fé,
,4,28803,,Calle Santa Fé,
,11,28802,,Avenida de los Reyes Católicos,
,9,28802,,Avenida de los Reyes Católicos,
,10,28802,,Calle de la Era Honda,
,8,28802,,Calle de la Era Honda,
,3A,28802,,Avenida de los Reyes Católicos,
,3B,28802,,Avenida de los Reyes Católicos,
,3,28802,,Calle del Clavel,
,10,28806,,Calle Concha Espina,
,2,28806,,Calle Concha Espina,
,1,28805,,Calle Lope de Rueda,
,6,28805,,Calle de Calderón de la Barca,
,4,28805,,Calle de Calderón de la Barca,
,2,28805,,Calle de Calderón de la Barca,
,2,28805,,Calle de Rojas Zorrilla,
,1,28806,,Travesía Carabaña,
,1,28804,,Calle Manuel Merino,
,9,28804,,Paseo del Val,
,4,28804,,Calle de Juliana Merino,
,8,28804,,Calle de Juliana Merino,
,12,28804,,Calle de Juliana Merino,
,14,28804,,Calle de Juliana Merino,
,11,28804,,Calle Manuel Merino,
,15,28804,,Calle Manuel Merino,
,17,28804,,Calle Manuel Merino,
,19,28804,,Calle Manuel Merino,
,25,28804,,Calle Manuel Merino,
,22,28804,,Calle Azucena,
,20,28804,,Calle Azucena,
,18,28804,,Calle Azucena,
,16,28804,,Calle Azucena,
,22,28804,,Calle de Juliana Merino,
,20,28804,,Calle Manuel Merino,
,1,28804,,Calle Sevilla,
,1,28804,,Travesía del Val,
,2,28804,,Travesía del Val,
,3,28804,,Travesía del Val,
,8,28804,,Paseo del Val,
,6,28804,,Paseo del Val,
,4,28804,,Paseo del Val,
,2,28804,,Paseo del Val,
,1,28804,,Calle de Santa Mónica,
,3,28804,,Calle de Santa Mónica,
,5,28804,,Calle de Santa Mónica,
,7,28804,,Calle de Santa Mónica,
,17,28804,,Paseo de la Alameda,
,19,28804,,Paseo de la Alameda,
,15,28804,,Paseo de la Alameda,
,8,28804,,Calle Gonzalo de Berceo,
,6,28804,,Calle Gonzalo de Berceo,
,4,28804,,Calle Gonzalo de Berceo,
,2,28804,,Calle Gonzalo de Berceo,
,10,28804,,Calle de Gonzalo de Berceo,
,14,28804,,Calle Gonzalo de Berceo,
,12,28804,,Calle Gonzalo de Berceo,
,83,28805,,Vía Complutense,
,13,28802,,Camino del Juncal,
,11,28802,,Camino del Juncal,
,9,28802,,Camino del Juncal,
,15,28802,,Avenida de Nuestra Señora de Belén,
,6,28802,,Calle de Cabeza de Vaca,
,4,28802,,Calle de Cabeza de Vaca,
,2,28802,,Calle de Cabeza de Vaca,
,13,28802,,Avenida de Nuestra Señora de Belén,
,11,28802,,Avenida de Nuestra Señora de Belén,
,1,28802,,Calle de Cabeza de Vaca,
,3,28802,,Calle de Cabeza de Vaca,
,5,28802,,Calle de Cabeza de Vaca,
,9,28805,,Urbanización Parque de los Nogales,
,8,28805,,Urbanización Parque de los Nogales,
,7,28805,,Urbanización Parque de los Nogales,
,6,28805,,Urbanización Parque de los Nogales,
,10,28805,,Urbanización Parque de los Nogales,
,11,28805,,Urbanización Parque de los Nogales,
,12,28805,,Urbanización Parque de los Nogales,
,13,28805,,Urbanización Parque de los Nogales,
,1,28805,,Urbanización Parque de los Nogales,
,2,28805,,Urbanización Parque de los Nogales,
,3,28805,,Urbanización Parque de los Nogales,
,4,28805,,Urbanización Parque de los Nogales,
,5,28805,,Urbanización Parque de los Nogales,
,13,,,Calle Alejo Carpentier,
Alcalá de Henares,3,28804,,Avenida Virgen del Val,
Alcalá de Henares,5,28804,,Avenida Virgen del Val,
Alcalá de Henares,1,28804,,Avenida Virgen del Val,
Alcalá de Henares,7,28804,,Avenida Virgen del Val,
Alcalá de Henares,9,28804,,Avenida Virgen del Val,
Alcalá de Henares,11,28804,,Avenida Virgen del Val,
,2,,,Glorieta de Vicente Aleixandre,
,2A,28801,,Calle del Cid Campeador,
,3,28801,,Calle de Santiago,
,5,28801,,Calle de Santiago,
,7,28801,,Calle de Santiago,
,9,28801,,Calle de Santiago,
,11,28801,,Calle de Santiago,
,13,28801,,Calle de Santiago,
,15,28801,,Calle de Santiago,
Alcalá de Henares,65,28805,,Vía Complutense,
Alcalá de Henares,4,28805,,Ronda Ancha,
Alcalá de Henares,13,28806,,Avenida de Juan Carlos I,
Alcalá de Henares,23,28806,,Calle de Blas Cabrera,
,,28805,,Calle de Cogolludo,
,12,,,Calle Tercia,
,4,,,Calle Sarracines,
,3,,,Av. Guadalajara,
,4,28806,,Paseo de los Pinos,
,348,,,Calle Arturo Soria,
Alcalá de Henares,4,28804,,Calle de Andrea Doria,
Alcalá de Henares,2,28804,,Calle de Andrea Doria,
Alcalá de Henares,2,,,Calle Ximenez de Rada,
Alcalá de Henares,2A,,,Calle Ximenez de Rada,
,,,,"Calle Santiago, 15",
Alcalá de Henares,6,28807,,c/ Ferraz,
Alcalá de Henares,,,,Calle de Libreros,
,43,28805,,Vía Complutense,
Alcalá de Henares,19,28806,,Calle Pierre Curie,
,5,,,Calle de Portilla,
,1,,,Calle del Ángel,
,2,,,Calle del Ángel,
,4,,,Calle del Ángel,
,6,,,Calle del Ángel,
,8,,,Calle del Ángel,
,5,,,Calle del Ángel,
,4,,,Calle del Ángel,
Alcalá de Henares,4,28806,,Calle Jorge Luis Borges,
Alcalá de Henares,20,28806,,Calle Alejo Carpentier,
Alcalá de Henares,,28806,,Avenida de los Reyes Magos,
,,,,Calle Dámaso Alonso,
Alcalá de Henares,,28806,,Calle Alejo Carpentier,
Alcalá,,28007,,Calle Cánovas del Castillo,
Alcalá de Henares,27,28806,,Calle Dámaso Alonso,
,,,,"Avenida Alcarria, 2",
,,28806,,Avenida Alcarria,
,,28806,,"Avenida Alcarria, 6",
Alcalá de Henares,26,28801,,Calle Mayor,
Alcalá de Henares,8,28806,,Calle Alejo Carpentier,
,0,28804,,Calle Manuel Merino,
,1,28804,,Calle de San Cirilo,
Alcalá de Henares,,28806,,Calle Francisco Ayala,
Alcalá de Henares,,28806,,Calle Francisco Ayala,
Alcalá de Henares,,28806,,Calle Francisco Ayala,
Alcalá de Henares,16-26,28806,,Calle Francisco Ayala,
Alcalá de Henares,,28806,,Calle Octavio Paz,
Alcalá de Henares,,28806,,Calle Francisco Ayala,
Alcalá de Henares,,28806,,Calle Francisco Ayala,
Alcalá de Henares,,28806,,Calle Octavio Paz,
Alcalá de Henares,,28806,,Calle Miguel Mihura,
Alcalá de Henares,27,28806,,Calle Alejo Carpentier,
Alcalá de Henares,3,28804,,Paseo de la Alameda,
Alcalá de Henares,29,28805,,Calle del Teniente Ruiz,
Alcalá de Henares,,28806,,Avenida Juan Carlos I,yes
Alcalá de Henares,,28804,,Avenida Virgen del Val,
,44,28803,,Ronda Fiscal,
Alcalá de Henares,,28806,,Avenida de Europa,
,,28806,,Calle Alalpardo,
,2,28803,,Calle Entrepeñas,yes
,34,28803,,Calle Río Arlanza,
Alcalá de Henares,30,28802,,Avenida de Madrid,yes
Alcalá de Henares,6,,,Avenida de Carlos III,yes
,,,,Avenida de Meco,public
,,,,Avenida de Juan Carlos I,yes
Alcalá de Henares,,28803,,"Carretera M-300 Km 24,500",
Alcalá de Henares,,,,Calle Humanes,yes
Alcalá de Henares,,,,Calle Humanes,yes
Alcalá de Henares,,28805,,Calle Hontanares,yes
,,28806,,Avenida Miguel de Unamuno,retail
Alcalá de Henares,,28801,,Plaza de Rodríguez Marín,yes
,,,,Calle Cogolludo,
,,,,Calle Villamalea,
,7,28806,,Calle Juan Huarte de San Juan,industrial
,,,,N-II KM 29.000,yes
,6,,,Calle de Jacinto Benavente,yes
Alcalá de Henares,,28805,,Autovía A2 Salida 35  Km 35.6,
,5,28802,,Avenida del Ejército,
,89,28802,,Avenida del Ejército,
Alcalá de Henares,69,28804,,Avenida Virgen del Val,yes
,,28806,,Calle Fuentenovilla,retail
,,28805,,Calle Senda Perdida,
,32,28801,,Vía Complutense,
,27,28801,,Calle de Libreros,
Alcalá de Henares,27,28804,,Avenida Lope de Figueroa,
,,28806,,Calle de Federico García Lorca,yes
Alcalá de Henares,28,28806,,Calle Pío Baroja,yes
,,28806,,Calle Rosalía de Castro,
Alcalá de Henares,6,28802,,Calle de Antonio Suárez,supermarket
,16,,,Calle Gardenia,yes
Alcalá de Henares,2,28804,,Avenida de Valladolid,retail
Alcalá de Henares,26,28802,,Avenida de los Reyes Católicos,yes
,33,,,Calle de San Vidal,yes
Alcalá de Henares,,28802,,Calle Colegios,
Alcalá de Henares,2,28802,,Calle de Bulgaria,yes
,3,28806,,Calle Concepción Arenal,
,,,,Avenida de Castilla,residential
Alcalá de Henares,1,28804,,Avenida de Castilla,residential
,,,,Calle Segovia,residential
Alcalá de Henares (Madrid),11,28806,,Calle Octavio Paz,
,,28806,,Calle Dámaso Alonso,
,13,28806,,Calle San Ignacio de Loyola,
Alcalá de Henares,,28803,,Calle de Luis Vives,yes
