addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,building
Alcalá de Henares,,28804,,Avenida de Valladolid,
Alcalá de Henares,,28804,,Calle Zaragoza,
Alcalá de Henares,4,28804,,Calle Zaragoza,
Alcalá de Henares,1,28806,,Calle Fuentenovilla,
Alcalá de Henares,,,,Calle Zaragoza,
Alcalá de Henares,,28804,,Calle Zaragoza,
Alcalá de Henares,,28801,,Calle de la Era Honda,
Alcalá de Henares,7 Local 4,28803,,Ronda Fiscal,
Alcalá de Henares,7 A,28806,,Ronda Fiscal,
Alcalá de Henares,1,,,Paseo de Pastrana,
Alcalá de Henares,2,28803,,Calle Río Arlanza,
,,,,Calle Río Arlanza,
Alcalá de Henares,,,,Ronda Fiscal,
Alcalá de Henares,,,,Paseo de Pastrana,
Alcalá de Henares,,28804,,Avenida de Valladolid,
Alcalá de Henares,5,28805,,Camino de los Afligidos,
Alcalá de Henares,5,28805,,Camino de los Afligidos,
Alcalá de Henares,,28804,,Calle Santander,
,31,28804,,Avenida Lope de Figueroa,
,3,28801,,Calle de Ramón y Cajal,
Alcalá de Henares,2,,,Plaza Juan Gómez de Mora,
,30,,,Calle San Vidal,
,26,,,Calle San Vidal,
,28,,,Calle San Vidal,
,42,,,Ronda Fiscal,
Alcalá de Henares,24,28803,,Calle San Vidal,
Alcalá de Henares,20,,,Calle San Vidal,
Alcalá de Henares,18,,,Calle San Vidal,
Alcalá de Henares,1,,,Plaza Juan Gómez de Mora,
Alcalá de Henares,40,,,Ronda Fiscal,
Alcalá de Henares,43,,,Calle San Vidal,
Alcalá de Henares,2,,,Calle Pedro Serrano,
Alcalá de Henares,1,,,Calle Infante Don Luis,
Alcalá de Henares,3,,,Calle Infante Don Luis,
Alcalá de Henares,10,,,Ronda Fiscal,
Alcalá de Henares,12,,,Ronda Fiscal,
Alcalá de Henares,14,,,Ronda Fiscal,
Alcalá de Henares,16,,,Ronda Fiscal,
Alcalá de Henares,18,,,Ronda Fiscal,
Alcalá de Henares,20,,,Ronda Fiscal,
Alcalá de Henares,22,,,Ronda Fiscal,
Alcalá de Henares,24,,,Ronda Fiscal,
Alcalá de Henares,26,,,Ronda Fiscal,
Alcalá de Henares,28,,,Ronda Fiscal,
Alcalá de Henares,30,,,Ronda Fiscal,
Alcalá de Henares,32,,,Ronda Fiscal,
Alcalá de Henares,34,,,Ronda Fiscal,
Alcalá de Henares,36,,,Ronda Fiscal,
Alcalá de Henares,38,,,Ronda Fiscal,
Alcalá de Henares,35,,,Calle San Vidal,
Alcalá de Henares,8,,,Ronda Fiscal,
Alcalá de Henares,,28801,,Plaza de Cervantes,
,7 A,,,Ronda Fiscal,
Alcalá de Henares,7A,,,Ronda Fiscal,
Alcalá de Henares,7B,,,Ronda Fiscal,
Alcalá de Henares,3,,,Ronda Fiscal,
Alcalá de Henares,5,,,Ronda Fiscal,
Alcalá de Henares,35,,,Paseo de Pastrana,
,1,,,Calle de Nuestra Señora del Pilar,
,3,,,Calle de Nuestra Señora del Pilar,
,5,,,Calle de Nuestra Señora del Pilar,
,7,,,Calle de Nuestra Señora del Pilar,
,9,,,Calle de Nuestra Señora del Pilar,
,11,,,Calle de Nuestra Señora del Pilar,
,13,,,Calle de Nuestra Señora del Pilar,
,15,,,Calle de Nuestra Señora del Pilar,
,17,,,Calle de Nuestra Señora del Pilar,
,19,,,Calle de Nuestra Señora del Pilar,
,1,,,Calle Trinidad,
Alcalá de Henares,9,28801,,Calle Santa Úrsula,
,1,,,Calle Carmen Descalzo,
,,,,Calle Carmen Descalzo,
,42,28801,,Calle de Santiago,
Alcalá de Henares (Madrid),17,28801,,Calle de Santiago,
,50,28801,,Calle de Libreros,
Alcalá de Henares,6,28803,,Ronda Fiscal,
Alcalá de Henares,4,28803,,Ronda Fiscal,
,2,,,Calle Trinidad,
,10,,,Calle de Santo Tomás de Aquino,
Alcalá de Henares,,28804,,Avenida Virgen del Val,
Alcalá de Henares,59,28804,,Avenida Virgen del Val,
Alcalá de Henares,6,28801,,Calle Mayor,
Alcalá de Henares,23,28802,,Avenida de los Reyes Católicos,
Alcalá de Henares,15,,,Calle Río Alagón,
,8,,,Ronda Fiscal,
,56,28801,,Calle Mayor,
Alcalá de Henares,4,28801,,Corral de la Sinagoga,
,21,28801,,Calle Mayor,
Alcalá de Henares,8,28801,,Calle Mayor,yes
Alcalá de Henares (Madrid),2,28801,,Calle Diego de Torres,
Alcalá de Henares,26,28801,,Calle de Libreros,
,,,,Jacinto Verdaguer,
,,,,Jacinto Verdaguer,
,,,,Jacinto Verdaguer,
,,,,Calle José Martínez Ruiz Azorín,
,,,,Calle de Federico García Lorca,
Alcalá de Henares,10,28806,,Gerardo Diego,
,3 Bis,28804,,Plaza de Pedro Blas,
Alcalá de Henares,,28801,,Plaza San Diego,
Alcalá de Henares,10,28806,,Avenida de la Alcarria,
Alcalá de Henares,8,28806,,Avenida de la Alcarria,
,8,,,Avenida de la Alcarria,
,,,,Avenida de Castilla,
,3 B,28801,,Calle de Ramón y Cajal,
,4,,,Calle de Ramón y Cajal,
,3,28801,,Calle de Santiago,
Alcalá de Henares,13,28806,,Avd. Juan Carlos I,
,2,28804,,Paseo del Val,
Alcalá de Henares,74,28801,,Calle Mayor,
Alcalá de Henares,8,28801,,Calle Colegios,
Alcalá de Henares,2,28807,,Calle Goya,
Alcala de Henares,1,28807,,Paseo de la Estación,
Alcalá de Henares,1,28801,,Calle Cerrajeros,
Alcalá de Henares,42,28801,,Calle de Santiago,
,3,28801,,Calle Mayor,
,4,28801,,Plaza de los Irlandeses,
,12,,,Avenida de los Reyes Católicos,
,14,,,Avenida de los Reyes Católicos,
,16,,,Avenida de los Reyes Católicos,
,7,,,Avenida de los Reyes Católicos,
